Household Size,Gross Monthly Income,Federal Poverty Level,Weekly Family Share
3,"$3,331.00",150.00%,$0.00
3,"$3,886.00",175.00%,$0.00
3,"$4,442.00",200.00%,$50.00
3,"$4,997.00",225.00%,$75.00
3,"$5,552.00",250.00%,$100.00
3,"$6,107.00",275.00%,$125.00
3,"$6,663.00",300.00%,$150.00
3,"$7,218.00",325.00%,$175.00
3,"$7,773.00",350.00%,$200.00
3,"$8,328.00",375.00%,$225.00
3,"$8,883.00",400.00%,$250.00
3,"$9,439.00",425.00%,$275.00
3,"$9,994.00",450.00%,$300.00
3,"$10,549.00",475.00%,$325.00
3,"$11,104.00",500.00%,$350.00
3,"$11,659.00",525.00%,$375.00
3,"$12,215.00",550.00%,$400.00
3,"$12,770.00",575.00%,$425.00
4,"$4,019.00",150.00%,$0.00
4,"$4,689.00",175.00%,$0.00
4,"$5,358.00",200.00%,$50.00
4,"$6,028.00",225.00%,$75.00
4,"$6,698.00",250.00%,$100.00
4,"$7,368.00",275.00%,$125.00
4,"$8,038.00",300.00%,$150.00
4,"$8,707.00",325.00%,$175.00
4,"$9,377.00",350.00%,$200.00
4,"$10,047.00",375.00%,$225.00
4,"$10,717.00",400.00%,$250.00
4,"$11,386.00",425.00%,$275.00
4,"$12,056.00",450.00%,$300.00
4,"$12,726.00",475.00%,$325.00
4,"$13,396.00",500.00%,$350.00
4,"$14,066.00",525.00%,$375.00
4,"$14,735.00",550.00%,$400.00
4,"$15,405.00",575.00%,$425.00
5,"$4,706.00",150.00%,$0.00
5,"$5,491.00",175.00%,$0.00
5,"$6,275.00",200.00%,$50.00
5,"$7,059.00",225.00%,$75.00
5,"$7,844.00",250.00%,$100.00
5,"$8,628.00",275.00%,$125.00
5,"$9,413.00",300.00%,$150.00
5,"$10,197.00",325.00%,$175.00
5,"$10,981.00",350.00%,$200.00
5,"$11,766.00",375.00%,$225.00
5,"$12,550.00",400.00%,$250.00
5,"$13,334.00",425.00%,$275.00
5,"$14,119.00",450.00%,$300.00
5,"$14,903.00",475.00%,$325.00
5,"$15,688.00",500.00%,$350.00
5,"$16,472.00",525.00%,$375.00
5,"$17,256.00",550.00%,$400.00
5,"$18,041.00",575.00%,$425.00
6,"$5,394.00",150.00%,$0.00
6,"$6,293.00",175.00%,$0.00
6,"$7,192.00",200.00%,$50.00
6,"$8,091.00",225.00%,$75.00
6,"$8,990.00",250.00%,$100.00
6,"$9,889.00",275.00%,$125.00
6,"$10,788.00",300.00%,$150.00
6,"$11,686.00",325.00%,$175.00
6,"$12,585.00",350.00%,$200.00
6,"$13,484.00",375.00%,$225.00
6,"$14,383.00",400.00%,$250.00
6,"$15,282.00",425.00%,$275.00
6,"$16,181.00",450.00%,$300.00
6,"$17,080.00",475.00%,$325.00
6,"$17,979.00",500.00%,$350.00
6,"$18,878.00",525.00%,$375.00
6,"$19,777.00",550.00%,$400.00
6,"$20,676.00",575.00%,$425.00
